timestamp,x,y,timestamp_sec,dt,dx,dy,distance,velocity,acceleration,angle,angle_change,angular_velocity,is_fixation,fixation_group
1741709123534,639,446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
1741709123560,677,476,0.026,0.026,38.0,30.0,48.41487374764082,1862.1105287554162,71619.63572136217,0.668289418830584,0.6682894188305841,25.703439185791698,False,2
1741709123595,630,442,0.061,0.035,-47.0,-34.0,58.008620049092706,1657.3891442597915,-5849.182414160707,-2.5153312159910386,3.099564672357964,88.55899063879896,False,2
1741709123628,636,454,0.094,0.033,6.0,12.0,13.416407864998739,406.55781409087086,-37903.9797020885,1.1071487177940904,-2.660705373394457,-80.62743555740778,False,2
1741709123661,565,413,0.127,0.033,-71.0,-41.0,81.98780397107853,2484.4789082145007,62967.30588253423,-2.61790799259355,2.5581285967919456,77.51904838763471,False,2
1741709123693,563,408,0.159,0.032,-2.0,-5.0,5.385164807134504,168.28640022295323,-72381.01587473587,-1.9513027039072615,0.6666052886862883,20.83141527144651,False,2
1741709123727,560,420,0.193,0.034,-3.0,12.0,12.36931687685298,363.8034375544994,5750.501097986651,1.8157749899217608,-2.516107613350564,-74.00316509854599,False,2
1741709123758,446,375,0.224,0.031,-114.0,-45.0,122.56018929489298,3953.5544933836445,115798.42115577888,-2.7656316997184875,1.701778617539338,54.89608443675284,False,2
1741709123793,261,282,0.259,0.035,-185.0,-93.0,207.06037766796427,5916.0107905132645,56070.17991798914,-2.6757852207335806,0.08984647898490694,2.5670422567116264,False,2
1741709123829,494,407,0.295,0.035999999999999976,233.0,125.0,264.41255643406953,7344.793234279714,39688.40121573473,0.4924044848837272,-3.1149956015622786,-86.52765559895224,False,2
1741709123859,397,347,0.325,0.030000000000000027,-97.0,-60.0,114.0570032922135,3801.9001097404466,-118096.43748464214,-2.5876401449487654,-3.0800446298324924,-102.66815432774966,False,2
1741709123896,397,347,0.362,0.03699999999999998,0.0,0.0,0.0,0.0,-102754.05702001213,0.0,2.5876401449487654,69.93622013375045,True,3
1741709123928,401,340,0.394,0.03200000000000003,4.0,-7.0,8.06225774829855,251.94555463432943,7873.298582322787,-1.0516502125483738,-1.051650212548374,-32.86406914213666,False,4
1741709123961,473,381,0.427,0.032999999999999974,72.0,41.0,82.85529554590944,2510.7665316942275,68449.12051696666,0.5176491093767744,1.5692993219251488,47.55452490682273,False,4
1741709123995,361,312,0.461,0.03400000000000003,-112.0,-69.0,131.54847015454038,3869.0726516041254,39950.1799973499,-2.5894396631342893,-3.1070887725110636,-91.38496389738414,False,4
1741709124029,343,312,0.495,0.033999999999999975,-18.0,0.0,18.0,529.4117647058828,-98225.32020288956,3.141592653589793,-0.5521529904555038,-16.239793836926594,False,4
1741709124062,358,327,0.528,0.03300000000000003,15.0,15.0,21.213203435596427,642.8243465332245,3436.7449038588356,0.7853981633974483,-2.356194490192345,-71.3998330361316,False,4
1741709124095,222,236,0.561,0.03300000000000003,-136.0,-91.0,163.63679292872982,4958.69069480999,130783.82873565947,-2.551895136411001,2.945892007371137,89.26945476882226,False,4
1741709124133,482,375,0.599,0.03799999999999992,260.0,139.0,294.8236761184556,7758.517792590952,73679.66046792018,0.4909549316689928,3.0428500680799946,80.07500179157897,False,4
1741709124159,350,303,0.625,0.026000000000000023,-132.0,-72.0,150.3595690337,5783.060347449995,-75979.13250542137,-2.642245931909663,-3.133200863578656,-120.5077255222559,False,4
1741709124195,348,310,0.661,0.03600000000000003,-2.0,7.0,7.280109889280518,202.22527470223642,-155023.19646521535,1.849095985800008,-1.791843389469915,-49.77342748527538,False,4
1741709124227,281,266,0.693,0.03199999999999992,-67.0,-44.0,80.15609770940699,2504.878053418975,71957.89933489828,-2.5605103547924664,1.8735789665871119,58.549342705847394,False,4
1741709124261,273,273,0.727,0.03400000000000003,-8.0,7.0,10.63014581273465,312.65134743337177,-64477.25605840003,2.4227626539681686,-1.2999122984189508,-38.232714659380875,False,4
1741709124295,352,315,0.761,0.03400000000000003,79.0,42.0,89.47066558375433,2631.490164228066,68201.14167043212,0.4886424026197263,-1.9341202513484423,-56.88588974554237,False,4
1741709124332,154,231,0.798,0.03700000000000003,-198.0,-84.0,215.08137994721903,5813.010268843753,85987.02985447794,-2.7403638545849445,3.0541790499749153,82.54537972905169,False,4
1741709124362,280,282,0.828,0.029999999999999916,126.0,51.0,135.9301291105103,4531.00430368369,-42733.532172002226,0.38460471482221353,3.124968569407158,104.16561898023889,False,4
1741709124395,428,359,0.861,0.03300000000000003,148.0,77.0,166.83225107874077,5055.5227599618365,15894.498675095347,0.4797320126871115,0.09512729786489782,2.882645389845386,False,4
1741709124428,208,251,0.894,0.03300000000000003,-220.0,-108.0,245.07957891264624,7426.653906443819,71852.45898430244,-2.6852441850326842,3.118209109459791,94.49118513514509,False,4
1741709124462,343,319,0.928,0.03400000000000003,135.0,68.0,151.15885683611134,4445.848730473859,-87670.74046970463,0.46660618025016615,-3.1313349418967356,-92.09808652637449,False,4
1741709124495,376,327,0.961,0.03299999999999992,33.0,8.0,33.95585369269929,1028.9652634151325,-103541.9232442041,0.23783592745745075,-0.22877025279271557,-6.93243190280958,False,4
1741709124528,413,347,0.994,0.03300000000000003,37.0,20.0,42.05948168962618,1274.5297481704893,7441.3480228895905,0.4955516734858285,0.2577157460283779,7.809568061465989,False,4
1741709124564,474,390,1.03,0.03600000000000003,61.0,43.0,74.63243262818116,2073.123128560586,22183.149455280443,0.6140190370079407,0.11846736352211229,3.2907600978364497,False,4
1741709124595,451,378,1.061,0.030999999999999917,-23.0,-12.0,25.942243542145693,836.8465658756697,-39879.88911886837,-2.6607053733944572,3.008460896777189,97.04712570249022,False,4
1741709124628,468,390,1.094,0.03300000000000014,17.0,12.0,20.808652046684813,630.5652135359007,-6250.950070902064,0.6146629519221655,-3.0078169818629634,-91.14596914736214,False,4
1741709124661,472,383,1.127,0.03299999999999992,4.0,-7.0,8.06225774829855,244.31084085753238,-11704.677959950584,-1.0516502125483738,-1.6663131644705391,-50.49433831728919,False,4
1741709124695,411,357,1.161,0.03400000000000003,-61.0,-26.0,66.30987860040162,1950.2905470706341,50175.87371215001,-2.7386810627362776,-1.6870308501879039,-49.61855441729125,False,4
1741709124728,430,374,1.194,0.03299999999999992,19.0,17.0,25.495097567963924,772.5787141807269,-35688.23736030031,0.7298996581517315,-2.814604586291577,-85.29104806944194,False,4
1741709124762,453,370,1.228,0.03400000000000003,23.0,-4.0,23.345235059857504,686.6245605840436,-2528.0633410789196,-0.17219081452293902,-0.9020904726746704,-26.532072725725573,False,4
1741709124795,410,337,1.261,0.03299999999999992,-43.0,-33.0,54.20332093147061,1642.5248767112346,28966.67624627859,-2.487021886266402,-2.314831071743463,-70.14639611343844,False,4
1741709124829,401,339,1.295,0.03400000000000003,-9.0,2.0,9.219544457292887,271.16307227332,-40334.17071876216,2.922923707715851,-0.8732397131973322,-25.6835209763921,False,4
1741709124857,611,429,1.323,0.028000000000000025,210.0,90.0,228.47319317591726,8159.756899139895,281735.49381666316,0.40489178628508343,-2.518031921430768,-89.9297114796702,False,4
1741709124894,585,411,1.36,0.037000000000000144,-26.0,-18.0,31.622776601683793,854.6696378833424,-197434.79084477093,-2.5360479899848234,-2.9409397762699068,-79.48485881810528,False,4
1741709124928,520,365,1.394,0.03399999999999981,-65.0,-46.0,79.63039620647382,2342.070476661008,43747.083493460996,-2.525722701650267,0.010325288334556593,0.3036849510163721,False,4
1741709124961,505,354,1.427,0.03300000000000014,-15.0,-11.0,18.601075237738275,563.6689465981271,-53890.955456450705,-2.5088438185876103,0.016878883062656502,0.5114813049289827,False,4
1741709124994,520,365,1.46,0.03299999999999992,15.0,11.0,18.601075237738275,563.6689465981309,1.1368683772161631e-10,0.6327488350021832,-3.141592653589793,-95.19977738150912,False,4
1741709125025,524,368,1.491,0.03100000000000014,4.0,3.0,5.0,161.29032258064444,-12979.955613467248,0.6435011087932844,0.010752273791100997,0.3468475416484177,False,4
1741709125058,492,345,1.524,0.03299999999999992,-32.0,-23.0,39.408120990476064,1194.1854845598837,31299.853393310357,-2.518393323655727,3.1212908747305743,94.58457196153279,False,4
1741709125095,503,353,1.561,0.03699999999999992,11.0,8.0,13.601470508735444,367.60731104690467,-22339.950635485966,0.628796286415433,-3.1359956971084255,-84.75664046239005,False,4
1741709125128,511,359,1.594,0.03300000000000014,8.0,6.0,10.0,303.03030303030175,-1956.8790308061407,0.6435011087932844,0.014704822377851201,0.4456006781167012,False,4
1741709125160,513,360,1.626,0.031999999999999806,2.0,1.0,2.23606797749979,69.87712429686886,-7286.036835419822,0.4636476090008061,-0.1798534997924781,-5.620421868514975,True,5
1741709125192,531,372,1.658,0.03200000000000003,18.0,12.0,21.633307652783937,676.0408641494975,18942.616870394628,0.5880026035475675,0.12435499454676124,3.8860935795862854,False,6
1741709125228,527,370,1.694,0.03600000000000003,-4.0,-2.0,4.47213595499958,124.22599874998821,-15328.19070554191,-2.677945044588987,3.0172376590430314,83.81215719563968,False,6
1741709125261,515,361,1.727,0.03300000000000014,-12.0,-9.0,15.0,454.5454545454526,10009.680478650394,-2.498091544796509,0.1798534997924781,5.450106054317495,False,6
1741709125295,495,348,1.761,0.03399999999999981,-20.0,-13.0,23.853720883753127,701.580025992743,7265.722689626228,-2.5652174329986095,-0.06712588820210064,-1.9742908294735593,False,6
1741709125328,524,367,1.794,0.03300000000000014,29.0,19.0,34.66987164671943,1050.6021711127055,10576.428639998818,0.5800027742076809,-3.1379650999732958,-95.08985151434189,False,6
1741709125362,508,357,1.828,0.03400000000000003,-16.0,-10.0,18.867962264113206,554.9400665915643,-14578.297191798256,-2.5829933382462307,3.1201891947256746,91.770270433108,False,6
1741709125395,490,344,1.861,0.03299999999999992,-18.0,-13.0,22.20360331117452,672.836463974987,3572.6181025279698,-2.516107613350564,0.06688572489566669,2.026840148353541,False,6
1741709125427,495,348,1.893,0.03200000000000003,5.0,4.0,6.4031242374328485,200.09763241977635,-14773.088486100321,0.6747409422235526,-3.09233675160547,-96.63552348767085,False,6
1741709125461,482,338,1.927,0.03400000000000003,-13.0,-10.0,16.401219466856727,482.38880784872686,8302.681630263243,-2.485897027348257,3.1225473376077764,91.83962757669923,False,6
1741709125494,511,359,1.96,0.03299999999999992,29.0,21.0,35.805027579936315,1085.0008357556485,18260.970542634033,0.6267429012110469,3.112639928559304,94.32242207755489,False,6
1741709125528,480,337,1.994,0.03400000000000003,-31.0,-22.0,38.01315561749642,1118.0339887498938,971.5633233601537,-2.524401262049431,3.1320411439191087,92.11885717409135,False,6
1741709125559,477,335,2.025,0.030999999999999917,-3.0,-2.0,3.605551275463989,116.308105660129,-32313.738164186045,-2.5535900500422257,-0.029188787992794563,-0.941573806219182,False,6
1741709125592,460,323,2.058,0.03299999999999992,-17.0,-12.0,20.808652046684813,630.565213535905,15583.548723508402,-2.5269297016676275,0.026660348374598186,0.8078893446847956,False,6
1741709125628,467,328,2.094,0.03600000000000003,7.0,5.0,8.602325267042627,238.95347964007274,-10878.103719328663,0.6202494859828215,-3.136006119529137,-87.1112810980315,False,6
1741709125661,470,330,2.127,0.03299999999999992,3.0,2.0,3.605551275463989,109.25912955951509,-3930.131820622969,0.5880026035475675,-0.032246882435253976,-0.9771782556137593,False,6
1741709125691,433,304,2.157,0.03000000000000025,-37.0,-26.0,45.221676218380054,1507.3892072793226,46604.335923993196,-2.52905509697949,-3.117057700527057,-103.90192335090104,False,6
